Date/Time,Step Count (count),Source
2022-06-19 00:00:00,9365,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-20 00:00:00,3609,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-21 00:00:00,5581,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-22 00:00:00,4162,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-23 00:00:00,7309,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-24 00:00:00,10526,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-25 00:00:00,1160,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-26 00:00:00,1949,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-27 00:00:00,1113,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-28 00:00:00,452,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-29 00:00:00,3614,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-06-30 00:00:00,11549,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-01 00:00:00,158,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-02 00:00:00,1301,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-03 00:00:00,551,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-04 00:00:00,2808,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-05 00:00:00,575,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-06 00:00:00,10904,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-07 00:00:00,9434,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-08 00:00:00,11238,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-09 00:00:00,7016,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-10 00:00:00,12711,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-11 00:00:00,3467,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-12 00:00:00,2242,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-13 00:00:00,198,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-14 00:00:00,96,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-15 00:00:00,2522,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
2022-07-16 00:00:00,8673,Liza Berfin Apple Watch’u|Liza Berfin Apple Watch’u|Liza Berfin İnce|Liza Berfin İnce
